Accession	GenbankAcc	Length	Taxid	ProjectID	TaxName	Replicon	Create Date	Update Date
NC_006823.1	CR555307.1	207355	76114	58231	Aromatoleum aromaticum EbN1	plasmid 1	Feb 4 2005	Jun 10 2013  4:16:05:223PM
NC_006824.1	CR555308.1	223670	76114	58231	Aromatoleum aromaticum EbN1	plasmid 2	Feb 4 2005	Jun 10 2013  4:16:09:383PM
NC_006395.1	AY596296.1	410554	272569	57719	Haloarcula marismortui ATCC 43049	plasmid pNG700	Nov 4 2004	Jun 10 2013  4:06:51:600PM
NC_006139.1	CR522871.1	121587	177439	58153	Desulfotalea psychrophila LSv54	plasmid large	Aug 16 2004	May 23 2013  7:16:15:353AM
NC_006140.1	CR522872.1	14664	177439	58153	Desulfotalea psychrophila LSv54	plasmid small	Aug 16 2004	May 23 2013  7:16:16:336AM
NC_006842.1	CP000022.1	45849	312309	58163	Vibrio fischeri ES114	plasmid pES100	Feb 14 2005	Jul 22 2013  6:16:48:856PM
NC_006855.1	AY509003.1	49558	321314	58017	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	plasmid pSCV50	Feb 23 2005	Aug 20 2013  4:37:59:493PM
NC_006856.1	AY509004.1	138742	321314	58017	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	plasmid pSC138	Feb 23 2005	Aug 20 2013  4:38:00:523PM
NC_006873.1	CR626928.1	36560	272559	57639	Bacteroides fragilis NCTC 9343	plasmid pBF9343	Mar 9 2005	May 23 2013  9:07:18:830AM
NC_006969.2	AP011119.1	4367	632772	13791	Rhodococcus opacus B4	plasmid pKNR01	Apr 19 2005	Jun  7 2013 11:45:54:946PM
NC_006970.2	AP011120.1	2773	632772	13791	Rhodococcus opacus B4	plasmid pKNR02	Apr 17 2005	Jun  7 2013 11:45:56:193PM
NC_007104.1	CP000041.1	5108	288681	58103	Bacillus cereus E33L	plasmid pE33L5	Jun 9 2005	May 23 2013  9:16:24:326AM
NC_007105.1	CP000042.1	53501	288681	58103	Bacillus cereus E33L	plasmid pE33L54	Jun 9 2005	May 23 2013  9:16:26:866AM
NC_007106.1	CP000043.1	8191	288681	58103	Bacillus cereus E33L	plasmid pE33L8	Jun 9 2005	May 23 2013  9:16:27:540AM
NC_007107.1	CP000044.1	9150	288681	58103	Bacillus cereus E33L	plasmid pE33L9	Jun 9 2005	May 23 2013  9:16:28:223AM
NC_007110.1	CP000054.1	62829	315456	58331	Rickettsia felis URRWXCal2	plasmid pRF	Jun 10 2005	May 23 2013  9:17:00:166AM
NC_007111.1	CP000055.1	39263	315456	58331	Rickettsia felis URRWXCal2	plasmid pRFdelta	Jun 10 2005	May 23 2013  9:17:02:226AM
NC_007164.1	CR931997.1	2462499	306537	58399	Corynebacterium jeikeium K411	chromosome 	Jul 4 2005	Jun 10 2013  4:21:01:263PM
NC_007168.1	AP006716.1	2685015	279808	62919	Staphylococcus haemolyticus JCSC1435	chromosome 	Jul 12 2005	Aug 27 2013  9:16:49:586AM
NC_007169.1	AP006717.1	2300	279808	62919	Staphylococcus haemolyticus JCSC1435	plasmid pSHaeA	Jul 4 2005	May 23 2013  9:17:05:393AM
NC_007170.1	AP006718.1	2366	279808	62919	Staphylococcus haemolyticus JCSC1435	plasmid pSHaeB	Jul 4 2005	May 23 2013  9:17:05:903AM
NC_007171.1	AP006719.1	8180	279808	62919	Staphylococcus haemolyticus JCSC1435	plasmid pSHaeC	Jul 4 2005	May 23 2013  9:17:06:310AM
NC_007181.1	CP000077.1	2225959	330779	58379	Sulfolobus acidocaldarius DSM 639	chromosome 	Jul 8 2005	Jun 10 2013  4:21:20:106PM
NC_004129.6	CP000076.1	7074893	220664	57937	Pseudomonas protegens Pf-5	chromosome 	Aug 21 2002	Jun 27 2013  8:39:18:713PM
NC_007204.1	CP000082.1	2650701	259536	58021	Psychrobacter arcticus 273-4	chromosome 	Jul 22 2005	Jun 10 2013  4:23:06:913PM
NC_007205.1	CP000084.1	1308759	335992	58401	Candidatus Pelagibacter ubique HTCC1062	chromosome 	Jul 25 2005	Jun 10 2013  4:23:25:646PM
NC_003910.7	CP000083.1	5373180	167879	57855	Colwellia psychrerythraea 34H	chromosome 	May 16 2002	Aug 26 2013 10:46:00:080PM
NC_007274.1	CP000059.1	131950	264730	58099	Pseudomonas syringae pv. phaseolicola 1448A	plasmid large plasmid	Aug 3 2005	May 23 2013  9:24:01:660AM
NC_007275.1	CP000060.1	51711	264730	58099	Pseudomonas syringae pv. phaseolicola 1448A	plasmid small plasmid	Aug 3 2005	May 23 2013  9:24:04:740AM
NC_005773.3	CP000058.1	5928787	264730	58099	Pseudomonas syringae pv. phaseolicola 1448A	chromosome 	Mar 4 2004	Jun 10 2013  4:24:48:966PM
NC_007292.1	CP000016.1	791654	291272	58329	Candidatus Blochmannia pennsylvanicus str. BPEN	chromosome 	Aug 6 2005	Jun 10 2013  4:25:18:496PM
NC_007294.1	AE017245.1	799476	262723	58061	Mycoplasma synoviae 53	chromosome 	Aug 7 2005	Jun 10 2013  4:25:58:916PM
NC_007295.1	AE017243.1	897405	262719	58059	Mycoplasma hyopneumoniae J	chromosome 	Aug 7 2005	Jun 10 2013  4:25:30:740PM
NC_007296.1	CP000056.1	1897573	319701	58335	Streptococcus pyogenes MGAS6180	chromosome 	Aug 8 2005	Aug 28 2013  5:42:27:200PM
NC_007297.1	CP000017.1	1838554	293653	58337	Streptococcus pyogenes MGAS5005	chromosome 	Aug 8 2005	Aug 28 2013  5:45:51:350PM
NC_007298.1	CP000089.1	4501104	159087	58025	Dechloromonas aromatica RCB	chromosome 	Aug 8 2005	Jun 10 2013  4:26:35:830PM
NC_007332.1	AE017244.1	920079	262722	58039	Mycoplasma hyopneumoniae 7448	chromosome 	Aug 10 2005	Jun 10 2013  4:27:23:110PM
NC_007333.1	CP000088.1	3642249	269800	57703	Thermobifida fusca YX	chromosome 	Aug 10 2005	Jun 10 2013  4:27:36:936PM
NC_007335.2	CP000095.2	1842899	59920	58359	Prochlorococcus marinus str. NATL2A	chromosome 	Aug 12 2005	Jun 10 2013  7:15:35:180PM
NC_007336.1	CP000092.1	634917	264198	58047	Ralstonia eutropha JMP134	plasmid megaplasmid	Aug 12 2005	Jun 10 2013  4:27:52:613PM
NC_007337.1	CP000093.1	87688	264198	58047	Ralstonia eutropha JMP134	plasmid 1	Aug 12 2005	May 23 2013  9:29:51:520AM
NC_007347.1	CP000090.1	3806533	264198	58047	Ralstonia eutropha JMP134	chromosome 1	Aug 18 2005	Jun 10 2013  4:28:32:463PM
NC_007348.1	CP000091.1	2726152	264198	58047	Ralstonia eutropha JMP134	chromosome 2	Aug 18 2005	Jun 10 2013  4:28:06:636PM
NC_007349.1	CP000098.1	36358	269797	57715	Methanosarcina barkeri str. Fusaro	plasmid 1	Aug 20 2005	May 23 2013  9:32:31:740AM
NC_007350.1	AP008934.1	2516575	342451	58411	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	chromosome 	Aug 20 2005	Aug 27 2013  7:15:42:663AM
NC_007351.1	AP008935.1	38454	342451	58411	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	plasmid pSSP1	Aug 20 2005	May 23 2013  9:32:30:193AM
NC_007352.1	AP008936.1	22870	342451	58411	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	plasmid pSSP2	Aug 20 2005	May 23 2013  9:32:31:110AM
NC_007354.1	CP000107.1	1315030	269484	58071	Ehrlichia canis str. Jake	chromosome 	Aug 22 2005	Jun 10 2013  4:29:24:506PM
NC_007355.1	CP000099.1	4837408	269797	57715	Methanosarcina barkeri str. Fusaro	chromosome 	Aug 22 2005	Jun 10 2013  4:30:17:216PM
NC_007356.1	AJ965256.1	1395502	255470	58413	Dehalococcoides sp. CBDB1	chromosome 	Aug 24 2005	Jun 10 2013  4:30:41:163PM
NC_007384.1	CP000038.1	4825265	300269	58217	Shigella sonnei Ss046	chromosome 	Sep 9 2005	Aug 27 2013  9:17:12:780AM
NC_007385.1	CP000039.1	214396	300269	58217	Shigella sonnei Ss046	plasmid pSS_046	Sep 9 2005	Jun 27 2013  8:45:58:590PM
NC_007404.1	CP000116.1	2909809	292415	58189	Thiobacillus denitrificans ATCC 25259	chromosome 	Sep 9 2005	Jun 10 2013  4:32:14:233PM
NC_007406.1	CP000115.1	3402093	323098	58295	Nitrobacter winogradskyi Nb-255	chromosome 	Sep 15 2005	Jul 30 2013  6:33:21:796PM
NC_007410.1	CP000119.1	366354	240292	58043	Anabaena variabilis ATCC 29413	plasmid A	Sep 17 2005	Jun 10 2013  4:33:17:560PM
NC_007411.1	CP000120.1	35762	240292	58043	Anabaena variabilis ATCC 29413	plasmid B	Sep 17 2005	May 23 2013  9:37:22:210AM
NC_007412.1	CP000121.1	300758	240292	58043	Anabaena variabilis ATCC 29413	plasmid C	Sep 17 2005	Jun 10 2013  4:33:38:706PM
NC_007413.1	CP000117.1	6365727	240292	58043	Anabaena variabilis ATCC 29413	chromosome 	Sep 20 2005	Jun 10 2013  4:34:41:333PM
NC_007414.1	AF074613.1	92077	155864	57831	Escherichia coli O157:H7 str. EDL933	plasmid pO157	Sep 21 2005	May 23 2013  9:39:28:016AM
NC_007426.1	CR936257.1	2595221	348780	58435	Natronomonas pharaonis DSM 2160	chromosome 	Oct 3 2005	Jun 10 2013  4:35:56:493PM
NC_007427.1	CR936258.1	130989	348780	58435	Natronomonas pharaonis DSM 2160	plasmid PL131	Oct 3 2005	May 23 2013  9:40:57:813AM
NC_007428.1	CR936259.1	23486	348780	58435	Natronomonas pharaonis DSM 2160	plasmid PL23	Oct 3 2005	May 23 2013  9:40:55:786AM
NC_007429.1	CP000051.1	1044459	315277	58333	Chlamydia trachomatis A/HAR-13	chromosome 	Oct 3 2005	Jun 10 2013  4:35:27:443PM
NC_007430.1	CP000052.1	7510	315277	58333	Chlamydia trachomatis A/HAR-13	plasmid pCTA	Oct 3 2005	May 23 2013  9:40:17:293AM
NC_007432.1	CP000114.1	2127839	205921	57935	Streptococcus agalactiae A909	chromosome 	Oct 3 2005	Jun 10 2013  4:35:09:793PM
NC_007434.1	CP000124.1	4126292	320372	58391	Burkholderia pseudomallei 1710b	chromosome I	Oct 3 2005	Jun 10 2013  4:36:46:783PM
NC_007435.1	CP000125.1	3181762	320372	58391	Burkholderia pseudomallei 1710b	chromosome II	Oct 3 2005	Jun 10 2013  4:37:38:233PM
NC_007481.1	CR954246.1	3214944	326442	58431	Pseudoalteromonas haloplanktis TAC125	chromosome I	Oct 6 2005	Jun 10 2013  4:42:27:343PM
NC_007482.1	CR954247.1	635328	326442	58431	Pseudoalteromonas haloplanktis TAC125	chromosome II	Oct 6 2005	Aug 27 2013  6:25:54:210AM
NC_007483.1	CP000126.1	40420	323261	58403	Nitrosococcus oceani ATCC 19707	plasmid A	Oct 6 2005	May 23 2013  9:43:29:973AM
NC_007484.1	CP000127.1	3481691	323261	58403	Nitrosococcus oceani ATCC 19707	chromosome 	Oct 6 2005	Jun 10 2013  4:39:32:146PM
NC_007486.1	AP008932.1	104014	234621	59019	Rhodococcus erythropolis PR4	plasmid pREC1	Oct 10 2005	May 23 2013  9:48:08:186AM
NC_007487.1	AP008933.1	3637	234621	59019	Rhodococcus erythropolis PR4	plasmid pREC2	Oct 10 2005	May 23 2013  9:48:18:423AM
NC_007488.1	CP000145.1	114178	272943	57653	Rhodobacter sphaeroides 2.4.1	plasmid B	Oct 10 2005	Jul 22 2013  5:59:04:950PM
NC_007489.1	CP000146.1	105284	272943	57653	Rhodobacter sphaeroides 2.4.1	plasmid C	Oct 10 2005	Jul 22 2013  5:59:32:830PM
NC_007490.1	CP000147.1	100828	272943	57653	Rhodobacter sphaeroides 2.4.1	plasmid D	Oct 10 2005	Jul 22 2013  5:59:03:646PM
NC_007491.1	AP008931.1	271577	234621	59019	Rhodococcus erythropolis PR4	plasmid pREL1	Oct 11 2005	Jun 10 2013  4:43:38:983PM
NC_007492.2	CP000094.2	6438405	205922	57591	Pseudomonas fluorescens Pf0-1	chromosome 	Oct 11 2005	Jun 10 2013  9:32:18:283PM
NC_007493.1	CP000143.1	3188609	272943	57653	Rhodobacter sphaeroides 2.4.1	chromosome 1	Oct 11 2005	Aug 27 2013  9:17:30:346AM
NC_007494.1	CP000144.1	943016	272943	57653	Rhodobacter sphaeroides 2.4.1	chromosome 2	Oct 11 2005	Jul 22 2013  5:59:07:560PM
NC_007498.2	CP000142.2	3665893	338963	58241	Pelobacter carbinolicus DSM 2380	chromosome 	Oct 20 2005	Jun 10 2013  5:06:38:403PM
NC_007503.1	CP000141.1	2401520	246194	57821	Carboxydothermus hydrogenoformans Z-2901	chromosome 	Oct 23 2005	Jun 10 2013  4:46:00:846PM
NC_007504.1	AM039948.1	1852	316273	58321	Xanthomonas campestris pv. vesicatoria str. 85-10	plasmid pXCV2	Oct 23 2005	May 23 2013  9:50:38:836AM
NC_007505.1	AM039949.1	19146	316273	58321	Xanthomonas campestris pv. vesicatoria str. 85-10	plasmid pXCV19	Oct 23 2005	May 23 2013  9:50:40:006AM
NC_007506.1	AM039950.1	38116	316273	58321	Xanthomonas campestris pv. vesicatoria str. 85-10	plasmid pXCV38	Oct 23 2005	May 23 2013  9:50:41:496AM
NC_007507.1	AM039951.1	182572	316273	58321	Xanthomonas campestris pv. vesicatoria str. 85-10	plasmid pXCV183	Oct 23 2005	Jun 10 2013  4:46:30:010PM
NC_007508.1	AM039952.1	5178466	316273	58321	Xanthomonas campestris pv. vesicatoria str. 85-10	chromosome 	Oct 23 2005	Jun 10 2013  4:46:58:986PM
NC_007509.1	CP000150.1	1395069	482957	58073	Burkholderia lata	chromosome 3	Oct 24 2005	Jun 10 2013  4:47:35:396PM
NC_007510.1	CP000151.1	3694126	482957	58073	Burkholderia lata	chromosome 1	Oct 24 2005	Jun 10 2013  4:48:33:680PM
NC_007511.1	CP000152.1	3587082	482957	58073	Burkholderia lata	chromosome 2	Oct 24 2005	Jun 10 2013  4:47:50:486PM
NC_007512.1	CP000096.1	2364842	319225	58175	Chlorobium luteolum DSM 273	chromosome 	Oct 27 2005	Jun 10 2013  4:49:35:990PM
NC_007513.1	CP000097.1	2234828	316279	58323	Synechococcus sp. CC9902	chromosome 	Oct 27 2005	Jun 10 2013  4:49:12:576PM
NC_007514.1	CP000108.1	2572079	340177	58375	Chlorobium chlorochromatii CaD3	chromosome 	Oct 27 2005	Jun 10 2013  4:50:01:806PM
NC_007515.1	CP000149.1	13762	269799	57731	Geobacter metallireducens GS-15	plasmid unnamed	Oct 28 2005	May 23 2013  9:57:52:330AM
NC_007516.1	CP000110.1	2510659	110662	58319	Synechococcus sp. CC9605	chromosome 	Oct 28 2005	Jun 10 2013  4:50:27:400PM
NC_007517.1	CP000148.1	3997420	269799	57731	Geobacter metallireducens GS-15	chromosome 	Oct 28 2005	Aug 27 2013  9:17:51:253AM
NC_007519.1	CP000112.1	3730232	207559	57941	Desulfovibrio alaskensis G20	chromosome 	Oct 31 2005	Jun 10 2013  4:51:03:006PM
NC_007520.2	CP000109.2	2427734	317025	58183	Thiomicrospira crunogena XCL-2	chromosome 	Nov 1 2005	Jun 10 2013  5:49:46:893PM
NC_007575.1	CP000153.1	2201561	326298	58185	Sulfurimonas denitrificans DSM 1251	chromosome 	Nov 3 2005	Jun 10 2013  4:51:24:080PM
NC_007576.1	CR936503.1	1884661	314315	58281	Lactobacillus sakei subsp. sakei 23K	chromosome 	Nov 10 2005	Aug 27 2013  9:18:09:480AM
NC_007577.1	CP000111.1	1709204	74546	58357	Prochlorococcus marinus str. MIT 9312	chromosome 	Nov 3 2005	Jun 10 2013  4:51:41:460PM
NC_007595.1	CP000101.1	46366	1140	58045	Synechococcus elongatus PCC 7942	plasmid 1	Nov 9 2005	May 23 2013 10:01:24:173AM
NC_007604.1	CP000100.1	2695903	1140	58045	Synechococcus elongatus PCC 7942	chromosome 	Nov 10 2005	Jun 10 2013  4:51:56:096PM
NC_007606.1	CP000034.1	4369232	300267	58213	Shigella dysenteriae Sd197	chromosome 	Nov 30 2005	Aug 27 2013  9:18:43:726AM
NC_007607.1	CP000035.1	182726	300267	58213	Shigella dysenteriae Sd197	plasmid pSD1_197	Nov 18 2005	Jul 22 2013  6:17:28:666PM
NC_007608.1	CP000037.1	126697	300268	58215	Shigella boydii Sb227	plasmid pSB4_227	Nov 18 2005	Jun 27 2013  8:45:09:740PM
NC_007613.1	CP000036.1	4519823	300268	58215	Shigella boydii Sb227	chromosome 	Nov 18 2005	Aug 27 2013  9:18:20:736AM
NC_007614.1	CP000103.1	3184243	323848	58361	Nitrosospira multiformis ATCC 25196	chromosome 	Nov 28 2005	Jun 10 2013  4:53:01:750PM
NC_007615.1	CP000104.1	18871	323848	58361	Nitrosospira multiformis ATCC 25196	plasmid 1	Nov 28 2005	May 23 2013 10:05:13:506AM
NC_007616.1	CP000105.1	17036	323848	58361	Nitrosospira multiformis ATCC 25196	plasmid 2	Nov 28 2005	May 23 2013 10:05:13:950AM
NC_007617.1	CP000106.1	14159	323848	58361	Nitrosospira multiformis ATCC 25196	plasmid 3	Nov 28 2005	May 23 2013 10:05:14:413AM
NC_007618.1	AM040264.1	2121359	359391	62937	Brucella melitensis biovar Abortus 2308	chromosome I	Nov 28 2005	Jun 10 2013  4:52:43:943PM
NC_007622.1	AJ938182.1	2742531	273036	57661	Staphylococcus aureus RF122	chromosome 	Nov 29 2005	Jun 10 2013  4:53:34:780PM
NC_007624.1	AM040265.1	1156948	359391	62937	Brucella melitensis biovar Abortus 2308	chromosome II	Dec 5 2005	Jun 10 2013  4:54:32:673PM
NC_007626.1	AP007255.1	4967148	342108	58527	Magnetospirillum magneticum AMB-1	chromosome 	Dec 7 2005	Jun 10 2013  4:54:46:533PM
NC_007633.1	CP000123.1	1010023	340047	58525	Mycoplasma capricolum subsp. capricolum ATCC 27343	chromosome 	Dec 8 2005	Jun 27 2013  8:36:40:510PM
NC_007641.1	CP000231.1	53732	269796	57655	Rhodospirillum rubrum ATCC 11170	plasmid unnamed	Dec 13 2005	Jul 22 2013  5:59:35:296PM
NC_007643.1	CP000230.1	4352825	269796	57655	Rhodospirillum rubrum ATCC 11170	chromosome 	Dec 13 2005	Aug 27 2013  1:38:09:373AM
NC_007644.1	CP000232.1	2628784	264732	58051	Moorella thermoacetica ATCC 39073	chromosome 	Dec 13 2005	Jul 22 2013  6:15:31:540PM
NC_007645.1	CP000155.1	7215267	349521	58483	Hahella chejuensis KCTC 2396	chromosome 	Dec 15 2005	Jun 10 2013  4:56:00:390PM
NC_007650.1	CP000085.1	2914771	271848	58081	Burkholderia thailandensis E264	chromosome II	Dec 17 2005	Jun 10 2013  4:56:27:733PM
NC_007651.1	CP000086.1	3809201	271848	58081	Burkholderia thailandensis E264	chromosome I	Dec 17 2005	Jun 10 2013  4:56:46:360PM
NC_007677.1	CP000159.1	3551823	309807	58513	Salinibacter ruber DSM 13855	chromosome 	Dec 22 2005	Jul 22 2013  6:17:54:420PM
NC_007678.1	CP000160.1	35505	309807	58513	Salinibacter ruber DSM 13855	plasmid pSR35	Dec 22 2005	Jul 22 2013  6:18:01:130PM
NC_007681.1	CP000102.1	1767403	339860	58407	Methanosphaera stadtmanae DSM 3091	chromosome 	Jan 6 2006	Jun 10 2013  4:57:17:033PM
NC_007705.1	AP008229.1	4940217	342109	58547	Xanthomonas oryzae pv. oryzae MAFF 311018	chromosome 	Jan 9 2006	Jun 10 2013  4:57:30:370PM
NC_007712.1	AP008232.1	4171146	343509	58553	Sodalis glossinidius str. 'morsitans'	chromosome 	Jan 18 2006	Jun 10 2013  4:57:50:680PM
NC_007713.1	AP008233.1	83306	343509	58553	Sodalis glossinidius str. 'morsitans'	plasmid pSG1	Jan 18 2006	May 23 2013 10:18:21:043AM
NC_007714.1	AP008234.1	27240	343509	58553	Sodalis glossinidius str. 'morsitans'	plasmid pSG2	Jan 18 2006	May 23 2013 10:18:21:526AM
NC_007715.1	AP008235.1	10810	343509	58553	Sodalis glossinidius str. 'morsitans'	plasmid pSG3	Jan 18 2006	May 23 2013 10:18:21:853AM
NC_007716.1	CP000061.1	706569	322098	58297	Aster yellows witches'-broom phytoplasma AYWB	chromosome 	Jan 18 2006	Jun 10 2013  4:57:43:570PM
NC_007717.1	CP000062.1	3972	322098	58297	Aster yellows witches'-broom phytoplasma AYWB	plasmid pAYWB-I	Jan 18 2006	May 23 2013 10:17:39:653AM
NC_007718.1	CP000063.1	4009	322098	58297	Aster yellows witches'-broom phytoplasma AYWB	plasmid pAYWB-II	Jan 18 2006	May 23 2013 10:17:39:930AM
NC_007719.1	CP000064.1	5104	322098	58297	Aster yellows witches'-broom phytoplasma AYWB	plasmid pAYWB-III	Jan 18 2006	May 23 2013 10:17:40:210AM
NC_007720.1	CP000065.1	4316	322098	58297	Aster yellows witches'-broom phytoplasma AYWB	plasmid pAYWB-IV	Jan 18 2006	May 23 2013 10:17:40:493AM
NC_007722.1	CP000157.1	3052398	314225	58299	Erythrobacter litoralis HTCC2594	chromosome 	Jan 19 2006	Jun 10 2013  4:58:09:010PM
NC_007759.1	CP000252.1	3179300	56780	58539	Syntrophus aciditrophicus SB	chromosome 	Jan 28 2006	Jun 10 2013  4:58:38:506PM
NC_007760.1	CP000251.1	5013479	290397	58135	Anaeromyxobacter dehalogenans 2CP-C	chromosome 	Jan 30 2006	Jun 10 2013  4:59:01:083PM
NC_007761.1	CP000133.1	4381608	347834	58377	Rhizobium etli CFN 42	chromosome 	Feb 2 2006	Jun 27 2013  8:41:51:980PM
NC_007762.1	CP000134.1	194229	347834	58377	Rhizobium etli CFN 42	plasmid p42a	Feb 2 2006	Jun 27 2013  8:42:07:460PM
NC_007763.1	CP000135.1	184338	347834	58377	Rhizobium etli CFN 42	plasmid p42b	Feb 2 2006	Jun 10 2013  4:59:44:763PM
NC_007764.1	CP000136.1	250948	347834	58377	Rhizobium etli CFN 42	plasmid p42c	Feb 2 2006	Jun 27 2013  8:42:08:906PM
NC_007765.1	CP000137.1	505334	347834	58377	Rhizobium etli CFN 42	plasmid p42e	Feb 2 2006	Jun 27 2013  8:42:10:653PM
NC_007766.1	CP000138.1	642517	347834	58377	Rhizobium etli CFN 42	plasmid p42f	Feb 2 2006	Jun 10 2013  4:59:50:650PM
NC_007775.1	CP000239.1	2932766	321327	58535	Synechococcus sp. JA-3-3Ab	chromosome 	Feb 7 2006	Jun 10 2013  4:59:59:740PM
NC_007776.1	CP000240.1	3046682	321332	58537	Synechococcus sp. JA-2-3B'a(2-13)	chromosome 	Feb 7 2006	Jun 10 2013  5:00:18:466PM
NC_007777.1	CP000249.1	5433628	106370	58397	Frankia sp. CcI3	chromosome 	Feb 7 2006	Jun 10 2013  5:00:43:320PM
NC_007778.1	CP000250.1	5331656	316058	58439	Rhodopseudomonas palustris HaA2	chromosome 	Feb 7 2006	Jun 10 2013  5:01:14:393PM
NC_007790.1	CP000256.1	3125	451515	58555	Staphylococcus aureus subsp. aureus USA300_FPR3757	plasmid pUSA01	Feb 11 2006	May 23 2013 10:29:46:880AM
NC_007791.1	CP000257.1	4439	451515	58555	Staphylococcus aureus subsp. aureus USA300_FPR3757	plasmid pUSA02	Feb 11 2006	May 23 2013 10:29:47:443AM
NC_007792.1	CP000258.1	37136	451515	58555	Staphylococcus aureus subsp. aureus USA300_FPR3757	plasmid pUSA03	Feb 11 2006	May 23 2013 10:29:48:496AM
NC_007793.1	CP000255.1	2872769	451515	58555	Staphylococcus aureus subsp. aureus USA300_FPR3757	chromosome 	Feb 11 2006	Jun 10 2013  5:01:45:086PM
NC_007794.1	CP000248.1	3561584	279238	57747	Novosphingobium aromaticivorans DSM 12444	chromosome 	Feb 13 2006	Jun 10 2013  5:02:00:856PM
NC_007795.1	CP000253.1	2821361	93061	57795	Staphylococcus aureus subsp. aureus NCTC 8325	chromosome 	Feb 18 2006	Sep 11 2013  4:31:36:666PM
NC_007796.1	CP000254.1	3544738	323259	58181	Methanospirillum hungatei JF-1	chromosome 	Feb 21 2006	Jun 10 2013  5:02:46:263PM
NC_007797.1	CP000235.1	1471282	212042	57951	Anaplasma phagocytophilum str. HZ	chromosome 	Feb 22 2006	Jun 10 2013  5:03:02:633PM
NC_007798.1	CP000237.1	859006	222891	57965	Neorickettsia sennetsu str. Miyayama	chromosome 	Feb 22 2006	Jun 10 2013  5:03:17:320PM
NC_007799.1	CP000236.1	1176248	205920	57933	Ehrlichia chaffeensis str. Arkansas	chromosome 	Feb 22 2006	Jun 10 2013  5:03:22:506PM
NC_007801.1	CP000265.1	86072	290400	58147	Jannaschia sp. CCS1	plasmid plasmid1	Mar 1 2006	May 23 2013 10:35:38:683AM
NC_007802.1	CP000264.1	4317977	290400	58147	Jannaschia sp. CCS1	chromosome 	Mar 1 2006	Jun 10 2013  5:03:47:353PM
AC_000091.1	AP009048.1	4646332	316407	58567	Escherichia coli str. K-12 substr. W3110	chromosome 	Mar 1 2006	Jun 21 2011  9:37:27:936AM
NC_007880.1	AM233362.1	1895994	376619	58595	Francisella tularensis subsp. holarctica LVS	chromosome 	Mar 8 2006	Jun 10 2013  5:04:17:536PM
NC_007899.1	AP006861.1	1166239	264202	57971	Chlamydophila felis Fe/C-56	chromosome 	Mar 16 2006	Jun 10 2013  5:04:58:453PM
NC_007900.1	AP006862.1	7552	264202	57971	Chlamydophila felis Fe/C-56	plasmid pCfe1	Mar 16 2006	May 23 2013 10:38:34:430AM
NC_007901.1	CP000268.1	257447	338969	58353	Rhodoferax ferrireducens T118	plasmid plasmid1	Mar 16 2006	Jun 10 2013  5:04:24:263PM
NC_007907.1	AP008230.1	5727534	138119	58605	Desulfitobacterium hafniense Y51	chromosome 	Mar 16 2006	Jun 27 2013  8:28:21:683PM
NC_007908.1	CP000267.1	4712337	338969	58353	Rhodoferax ferrireducens T118	chromosome 	Mar 16 2006	Jun 10 2013  5:05:11:756PM
NC_007912.1	CP000282.1	5057531	203122	57921	Saccharophagus degradans 2-40	chromosome 	Mar 20 2006	Sep 25 2013  4:22:41:960PM
NC_007925.1	CP000301.1	5513844	316056	58443	Rhodopseudomonas palustris BisB18	chromosome 	Mar 24 2006	Jun 10 2013  5:06:10:116PM
NC_007929.1	CP000233.1	1827111	362948	58233	Lactobacillus salivarius UCC118	chromosome 	Apr 1 2006	Aug 28 2013  5:49:04:936PM
NC_007930.1	CP000234.1	242436	362948	58233	Lactobacillus salivarius UCC118	plasmid pMP118	Apr 1 2006	Jul 22 2013  6:17:49:103PM
NC_007940.1	CP000087.1	1522076	336407	58405	Rickettsia bellii RML369-C	chromosome 	Apr 7 2006	Jun 27 2013  8:43:34:710PM
NC_007941.1	CP000244.1	114230	364106	58541	Escherichia coli UTI89	plasmid pUTI89	Apr 7 2006	May 23 2013 10:43:24:393AM
NC_007946.1	CP000243.1	5065741	364106	58541	Escherichia coli UTI89	chromosome 	Apr 7 2006	Jun 10 2013  5:07:50:133PM
NC_007947.1	CP000284.1	2971517	265072	58049	Methylobacillus flagellatus KT	chromosome 	Apr 11 2006	Jun 10 2013  5:08:35:893PM
NC_007948.1	CP000316.1	5200264	296591	58207	Polaromonas sp. JS666	chromosome 	Apr 11 2006	Jun 10 2013  5:10:13:456PM
NC_007949.1	CP000317.1	360405	296591	58207	Polaromonas sp. JS666	plasmid 1	Apr 11 2006	Jun 10 2013  5:10:41:996PM
NC_007950.1	CP000318.1	338007	296591	58207	Polaromonas sp. JS666	plasmid 2	Apr 11 2006	Jun 10 2013  5:10:45:773PM
NC_007951.1	CP000270.1	4895836	266265	57823	Burkholderia xenovorans LB400	chromosome 1	Apr 11 2006	Jun 10 2013  5:09:42:123PM
NC_007952.1	CP000271.1	3363523	266265	57823	Burkholderia xenovorans LB400	chromosome 2	Apr 11 2006	Jun 10 2013  5:08:57:613PM
